zipcode,date,time,temp_f,feelslike_f,heatindex_f,windchill_f,humidity,cloud,chance_of_rain,chance_of_snow,condition.text,condition.icon,timestamp
7030,11/9/24,0:00,50.9,46,50.9,46,53,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,1:00,50.3,45.2,50.3,45.2,54,26,0,0,Partly Cloudy ,//cdn.weatherapi.com/weather/64x64/night/116.png,11/9/24 17:53
7030,11/9/24,2:00,49.6,44.1,49.6,44.1,55,86,0,0,Cloudy ,//cdn.weatherapi.com/weather/64x64/night/119.png,11/9/24 17:53
7030,11/9/24,3:00,47.8,41.7,47.8,41.7,49,21,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,4:00,47,40.9,47,40.9,43,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,5:00,45.9,39.7,45.9,39.7,45,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,6:00,44.7,38.5,44.7,38.5,47,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,7:00,43.6,37.4,43.6,37.4,50,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,8:00,43.5,37.3,43.5,37.3,51,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,9:00,44.1,38.2,44.1,38.2,49,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,10:00,46.2,41,46.2,41,46,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,11:00,48.1,43.5,48.1,43.5,36,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,12:00,49.9,45.7,49.9,45.7,32,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,13:00,51.6,47.9,51.6,47.9,29,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,14:00,52.8,49.5,52.8,49.5,27,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,15:00,53.7,50.5,53.7,50.5,26,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,16:00,54.3,51.4,54.3,51.4,27,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11/9/24 17:53
7030,11/9/24,17:00,54.8,52.5,54.8,52.5,28,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,18:00,53.1,53.7,55.4,53.7,22,0,0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,19:00,52.8,51.3,52.8,51.3,34,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,20:00,51.1,50,51.1,50,36,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,21:00,49.8,49,49.8,49,37,13,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,22:00,48.8,47.9,48.8,47.9,39,12,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/9/24,23:00,47.8,47,47.8,47,42,15,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,0:00,46.8,46.3,46.8,46.3,43,35,0,0,Partly Cloudy ,//cdn.weatherapi.com/weather/64x64/night/116.png,11/9/24 17:53
7030,11/10/24,1:00,46,45.5,46,45.5,46,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,2:00,45.3,45.1,45.3,45.1,48,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,3:00,44.8,44.7,44.8,44.7,51,16,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,4:00,44.3,44.3,44.3,44.3,53,0,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,5:00,44,44,44,44,55,11,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,6:00,43.9,43.8,43.9,43.8,57,10,0,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,11/9/24 17:53
7030,11/10/24,7:00,44,43.9,44,43.9,59,58,0,0,Partly Cloudy ,//cdn.weatherapi.com/weather/64x64/day/116.png,11/9/24 17:53
7030,11/10/24,8:00,45.1,44.5,45.1,44.5,61,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,11/9/24 17:53
